user_id,product_id,category,brand,price,rating,purchase_count
2633,ELECTRO_1133,laptop,xiaomi,37710,3,9
631,ELECTRO_6595,smartwatch,xiaomi,79501,2,6
1261,ELECTRO_4275,smartwatch,sony,143595,4,2
2513,ELECTRO_8026,headphones,apple,31493,1,8
1894,ELECTRO_8453,mobile,samsung,7471,1,5
372,ELECTRO_5017,accessories,samsung,71417,5,2
1761,ELECTRO_1344,tablet,xiaomi,89409,2,10
2017,ELECTRO_5378,laptop,hp,41446,1,2
1140,ELECTRO_9636,mobile,apple,119464,5,4
695,ELECTRO_5330,laptop,sony,58458,5,5
396,ELECTRO_3132,mobile,samsung,130674,2,0
1167,ELECTRO_9566,accessories,dell,39842,2,8
1633,ELECTRO_7031,laptop,oneplus,9120,5,1
2964,ELECTRO_7602,smartwatch,apple,128091,1,7
1540,ELECTRO_4302,tablet,boat,77260,4,7
206,ELECTRO_2091,smartwatch,lenovo,42342,5,0
1748,ELECTRO_9590,mobile,boat,85927,1,2
89,ELECTRO_6986,laptop,dell,11733,1,7
709,ELECTRO_3955,accessories,samsung,134526,3,1
1942,ELECTRO_1017,tablet,hp,8100,4,9
2756,ELECTRO_6347,smartwatch,apple,81018,4,10
1873,ELECTRO_6898,camera,oneplus,96051,4,4
1875,ELECTRO_6403,camera,boat,60673,4,1
126,ELECTRO_1207,tablet,samsung,117373,1,1
815,ELECTRO_5102,laptop,samsung,3930,2,1
2488,ELECTRO_4925,mobile,apple,82738,3,2
2866,ELECTRO_9759,mobile,lenovo,24174,1,8
1650,ELECTRO_4004,smartwatch,dell,17213,1,9
1406,ELECTRO_6503,headphones,lenovo,85944,4,8
412,ELECTRO_7303,laptop,apple,4619,2,3
1129,ELECTRO_3294,camera,apple,94641,4,9
1386,ELECTRO_4585,tablet,apple,52143,5,8
594,ELECTRO_7851,laptop,realme,80456,2,0
2855,ELECTRO_6148,tablet,apple,87164,2,8
516,ELECTRO_3911,accessories,hp,62746,2,10
708,ELECTRO_9444,headphones,sony,43273,5,9
2474,ELECTRO_6103,tablet,sony,115499,2,1
412,ELECTRO_3456,headphones,apple,34303,5,6
2902,ELECTRO_8360,camera,xiaomi,61676,3,5
147,ELECTRO_4629,headphones,sony,47033,1,9
1402,ELECTRO_5646,accessories,sony,43663,5,4
2581,ELECTRO_9429,headphones,boat,102692,1,2
2610,ELECTRO_1936,camera,boat,85027,5,0
2878,ELECTRO_1681,headphones,realme,42731,5,9
1853,ELECTRO_4475,camera,xiaomi,74947,4,3
992,ELECTRO_4852,accessories,boat,17547,3,8
348,ELECTRO_6223,tablet,lenovo,49099,5,3
2469,ELECTRO_4061,headphones,sony,80279,4,9
1744,ELECTRO_3352,headphones,dell,52713,3,10
2684,ELECTRO_5315,laptop,hp,46225,1,6
738,ELECTRO_9429,camera,realme,94834,5,5
1041,ELECTRO_9196,accessories,realme,62166,5,0
1201,ELECTRO_7422,laptop,samsung,119214,5,6
2368,ELECTRO_7089,mobile,realme,34872,1,2
827,ELECTRO_4608,smartwatch,xiaomi,18288,4,3
1300,ELECTRO_3056,laptop,oneplus,98011,3,8
2606,ELECTRO_2773,accessories,oneplus,14889,1,9
619,ELECTRO_9208,camera,samsung,103431,2,7
2314,ELECTRO_9421,camera,hp,94988,5,2
1058,ELECTRO_1372,mobile,apple,142344,1,4
2277,ELECTRO_8983,smartwatch,oneplus,93386,1,9
1638,ELECTRO_9365,mobile,boat,20495,3,5
2014,ELECTRO_5997,accessories,samsung,23102,4,6
2563,ELECTRO_5504,smartwatch,oneplus,79482,2,7
1428,ELECTRO_1747,headphones,sony,109887,4,4
817,ELECTRO_9083,accessories,apple,83281,1,6
1510,ELECTRO_2082,laptop,samsung,75598,1,6
2659,ELECTRO_7185,mobile,hp,97110,3,7
1198,ELECTRO_4439,headphones,apple,84747,4,2
714,ELECTRO_6302,headphones,sony,133143,3,6
2063,ELECTRO_5366,laptop,hp,27150,5,2
365,ELECTRO_3430,laptop,xiaomi,11051,1,1
902,ELECTRO_9478,accessories,apple,136872,3,1
2330,ELECTRO_5419,tablet,apple,106090,4,2
2583,ELECTRO_1048,mobile,hp,61360,5,10
2959,ELECTRO_5541,smartwatch,xiaomi,106884,4,0
1666,ELECTRO_5894,headphones,apple,119577,1,10
1440,ELECTRO_3522,mobile,oneplus,90410,2,1
2539,ELECTRO_7340,camera,apple,70804,4,4
1762,ELECTRO_2943,accessories,xiaomi,105616,4,6
337,ELECTRO_6036,laptop,samsung,148486,4,3
1894,ELECTRO_1183,smartwatch,dell,70737,2,8
2483,ELECTRO_5050,camera,lenovo,76612,1,5
1108,ELECTRO_6059,headphones,apple,137832,3,2
2332,ELECTRO_3693,headphones,sony,39754,3,3
2446,ELECTRO_6514,smartwatch,xiaomi,38664,3,7
2002,ELECTRO_3677,camera,realme,102711,2,7
551,ELECTRO_2522,headphones,hp,86874,4,10
398,ELECTRO_8954,smartwatch,oneplus,110894,1,0
1662,ELECTRO_2583,laptop,sony,8416,2,3
1589,ELECTRO_1093,laptop,boat,98915,5,5
1038,ELECTRO_8350,camera,oneplus,14021,2,3
1388,ELECTRO_9908,mobile,sony,37104,3,3
648,ELECTRO_1916,accessories,sony,97025,2,6
2632,ELECTRO_3522,camera,xiaomi,76039,5,9
635,ELECTRO_1199,tablet,dell,111898,3,1
